batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e4,QTR76G,15.6128,51.8634,7894.32,226.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e7,"",49.5795,28.2098,11887.2,281.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e8,QTR328,14.4129,47.56,11879.58,263.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e9,QTR70M,24.9117,44.4568,11879.58,267.04
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f2,QTR99P,8.4225,50.9617,11269.98,260.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f4,QTR60X,33.4183,45.1188,11574.78,26.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f5,QTR28V,18.4312,46.8095,11277.6,260.1
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f8,QTR030,12.7057,50.338,11887.2,257.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2fd,QTR45X,37.1523,40.6244,12184.38,229.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a30c,QTR8213,37.0995,40.6388,10363.2,230.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a391,QTR8401,85.9684,22.8464,9753.6,220.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a3bf,QTR94N,26.7196,44.7176,11887.2,254.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a07e,QTR786,-42.0953,-21.5376,10058.4,263.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a07f,QTR8944,90.5057,22.4158,11887.2,283.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a081,QTR8402,90.0367,22.4709,12496.8,277.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a089,QTR42J,27.5978,36.3845,10668.0,278.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a093,QTR99K,37.8212,39.7241,10668.0,247.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a096,QTR37X,51.0323,26.103,7376.16,193.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a09e,QTR1058,53.8997,25.7304,5478.78,214.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0a5,QTR1188,48.2585,26.1484,10972.8,214.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0a7,QTR74B,23.3934,46.9854,11879.58,257.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0a9,QTR8R,36.591,40.7862,12192.0,236.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b2,QTR70R,11.9349,48.4946,11887.2,264.38
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b3,QTR8G,26.7634,43.4884,11887.2,270.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b5,QTR18U,23.5865,44.9858,12489.18,268.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b9,QTR39Q,18.1749,52.9104,11269.98,248.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0bf,QTR68Y,20.1344,49.5918,12496.8,254.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0db,QTR43Q,28.7391,34.0703,10668.0,288.97
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0de,QTR6N,20.0993,51.0928,10058.4,243.54
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0eb,QTR52N,28.5075,42.9057,11887.2,272.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0f5,QTR27P,16.9861,39.9986,11887.2,279.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0fc,QTR2X,23.6326,38.9559,11887.2,270.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0fe,QTR964,58.1529,24.4736,11887.2,295.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a100,QTR958,51.6486,25.3598,754.38,136.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a102,QTR1398,1.287,36.0439,11277.6,271.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a105,QTR9W,16.7994,45.8558,11887.2,268.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a10d,QTR91U,-77.456,38.9338,-1.0,2.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a113,QTR3K,75.7114,13.9936,11582.4,232.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a116,QTR85P,12.9919,49.8884,11887.2,258.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a120,QTR1J,49.9669,27.4384,10119.36,221.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a138,QTR72P,18.913,47.149,10058.4,232.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a13b,QTR56V,51.6162,25.2309,-1.0,68.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a13d,QTR36U,-0.7024,39.3527,10363.2,304.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a141,QTR4J,5.4719,50.655,403.86,75.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a147,QTR38A,15.2126,46.2791,11887.2,265.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a156,QTR1067,52.6329,25.2356,4983.48,188.91
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,06a159,IGO45H,51.6113,25.2616,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1c0,QTR61P,6.2598,49.9999,10668.0,251.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1c5,QTR9B,44.9596,41.6704,-1.0,5.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1df,QTR43W,51.5741,25.3281,541.02,111.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1e0,QTR85C,26.1837,38.3288,11193.78,193.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1e8,QTR8L,15.8224,47.9044,9753.6,248.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1ec,QTR27F,16.3684,55.6074,10058.4,245.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1ed,QTR8942,91.954,22.2755,12496.8,263.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a255,LHOB244,6.2315,43.4875,5715.0,224.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2af,QTR69V,12.6811,48.1133,10668.0,250.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2b1,VOZ007,78.6383,7.3587,10363.2,252.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2c5,QTR001,10.1745,49.6291,10363.2,237.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2de,QTR88V,-1.0956,40.1493,9448.8,279.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e3,QTR47K,25.0138,44.5242,11277.6,259.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e4,QTR76G,15.6128,51.8634,7894.32,226.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e7,"",49.5795,28.2098,11887.2,281.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e8,QTR328,14.4129,47.56,11879.58,263.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e9,QTR70M,24.9117,44.4568,11879.58,267.04
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f2,QTR99P,8.4225,50.9617,11269.98,260.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f4,QTR60X,33.4183,45.1188,11574.78,26.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f5,QTR28V,18.4312,46.8095,11277.6,260.1
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f8,QTR030,12.7057,50.338,11887.2,257.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2fd,QTR45X,37.1523,40.6244,12184.38,229.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a30c,QTR8213,37.0995,40.6388,10363.2,230.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a391,QTR8401,85.9684,22.8464,9753.6,220.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a3bf,QTR94N,26.7196,44.7176,11887.2,254.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a07e,QTR786,-42.0953,-21.5376,10058.4,263.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a07f,QTR8944,90.5057,22.4158,11887.2,283.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a081,QTR8402,90.0367,22.4709,12496.8,277.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a089,QTR42J,27.5978,36.3845,10668.0,278.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a093,QTR99K,37.8212,39.7241,10668.0,247.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a096,QTR37X,51.0323,26.103,7376.16,193.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a09e,QTR1058,53.8997,25.7304,5478.78,214.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0a5,QTR1188,48.2585,26.1484,10972.8,214.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0a7,QTR74B,23.3934,46.9854,11879.58,257.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0a9,QTR8R,36.591,40.7862,12192.0,236.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b2,QTR70R,11.9349,48.4946,11887.2,264.38
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b3,QTR8G,26.7634,43.4884,11887.2,270.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b5,QTR18U,23.5865,44.9858,12489.18,268.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b9,QTR39Q,18.1749,52.9104,11269.98,248.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0bf,QTR68Y,20.1344,49.5918,12496.8,254.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0db,QTR43Q,28.7391,34.0703,10668.0,288.97
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0de,QTR6N,20.0993,51.0928,10058.4,243.54
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0eb,QTR52N,28.5075,42.9057,11887.2,272.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0f5,QTR27P,16.9861,39.9986,11887.2,279.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0fc,QTR2X,23.6326,38.9559,11887.2,270.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0fe,QTR964,58.1529,24.4736,11887.2,295.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a100,QTR958,51.6486,25.3598,754.38,136.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a102,QTR1398,1.287,36.0439,11277.6,271.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a105,QTR9W,16.7994,45.8558,11887.2,268.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a10d,QTR91U,-77.456,38.9338,-1.0,2.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a113,QTR3K,75.7114,13.9936,11582.4,232.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a116,QTR85P,12.9919,49.8884,11887.2,258.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a120,QTR1J,49.9669,27.4384,10119.36,221.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a138,QTR72P,18.913,47.149,10058.4,232.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a13b,QTR56V,51.6162,25.2309,-1.0,68.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a13d,QTR36U,-0.7024,39.3527,10363.2,304.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a141,QTR4J,5.4719,50.655,403.86,75.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a147,QTR38A,15.2126,46.2791,11887.2,265.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a156,QTR1067,52.6329,25.2356,4983.48,188.91
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,06a159,IGO45H,51.6113,25.2616,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1c0,QTR61P,6.2598,49.9999,10668.0,251.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1c5,QTR9B,44.9596,41.6704,-1.0,5.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1df,QTR43W,51.5741,25.3281,541.02,111.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1e0,QTR85C,26.1837,38.3288,11193.78,193.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1e8,QTR8L,15.8224,47.9044,9753.6,248.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1ec,QTR27F,16.3684,55.6074,10058.4,245.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1ed,QTR8942,91.954,22.2755,12496.8,263.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a255,LHOB244,6.2315,43.4875,5715.0,224.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2af,QTR69V,12.6811,48.1133,10668.0,250.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2b1,VOZ007,78.6383,7.3587,10363.2,252.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2c5,QTR001,10.1745,49.6291,10363.2,237.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2de,QTR88V,-1.0956,40.1493,9448.8,279.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e3,QTR47K,25.0138,44.5242,11277.6,259.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e4,QTR76G,15.6128,51.8634,7894.32,226.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e7,"",49.5795,28.2098,11887.2,281.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e8,QTR328,14.4129,47.56,11879.58,263.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e9,QTR70M,24.9117,44.4568,11879.58,267.04
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f2,QTR99P,8.4225,50.9617,11269.98,260.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f4,QTR60X,33.4183,45.1188,11574.78,26.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f5,QTR28V,18.4312,46.8095,11277.6,260.1
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f8,QTR030,12.7057,50.338,11887.2,257.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2fd,QTR45X,37.1523,40.6244,12184.38,229.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a30c,QTR8213,37.0995,40.6388,10363.2,230.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a391,QTR8401,85.9684,22.8464,9753.6,220.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a3bf,QTR94N,26.7196,44.7176,11887.2,254.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a07e,QTR786,-42.0953,-21.5376,10058.4,263.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a07f,QTR8944,90.5057,22.4158,11887.2,283.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a081,QTR8402,90.0367,22.4709,12496.8,277.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a089,QTR42J,27.5978,36.3845,10668.0,278.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a093,QTR99K,37.8212,39.7241,10668.0,247.45
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a096,QTR37X,51.0323,26.103,7376.16,193.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a09e,QTR1058,53.8997,25.7304,5478.78,214.37
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0a5,QTR1188,48.2585,26.1484,10972.8,214.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0a7,QTR74B,23.3934,46.9854,11879.58,257.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0a9,QTR8R,36.591,40.7862,12192.0,236.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b2,QTR70R,11.9349,48.4946,11887.2,264.38
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b3,QTR8G,26.7634,43.4884,11887.2,270.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b5,QTR18U,23.5865,44.9858,12489.18,268.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0b9,QTR39Q,18.1749,52.9104,11269.98,248.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0bf,QTR68Y,20.1344,49.5918,12496.8,254.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0db,QTR43Q,28.7391,34.0703,10668.0,288.97
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0de,QTR6N,20.0993,51.0928,10058.4,243.54
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0eb,QTR52N,28.5075,42.9057,11887.2,272.82
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0f5,QTR27P,16.9861,39.9986,11887.2,279.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0fc,QTR2X,23.6326,38.9559,11887.2,270.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a0fe,QTR964,58.1529,24.4736,11887.2,295.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a100,QTR958,51.6486,25.3598,754.38,136.47
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a102,QTR1398,1.287,36.0439,11277.6,271.81
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a105,QTR9W,16.7994,45.8558,11887.2,268.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a10d,QTR91U,-77.456,38.9338,-1.0,2.83
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a113,QTR3K,75.7114,13.9936,11582.4,232.92
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a116,QTR85P,12.9919,49.8884,11887.2,258.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a120,QTR1J,49.9669,27.4384,10119.36,221.02
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a138,QTR72P,18.913,47.149,10058.4,232.71
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a13b,QTR56V,51.6162,25.2309,-1.0,68.78
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a13d,QTR36U,-0.7024,39.3527,10363.2,304.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a141,QTR4J,5.4719,50.655,403.86,75.3
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a147,QTR38A,15.2126,46.2791,11887.2,265.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a156,QTR1067,52.6329,25.2356,4983.48,188.91
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,06a159,IGO45H,51.6113,25.2616,-1.0,1.29
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1c0,QTR61P,6.2598,49.9999,10668.0,251.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1c5,QTR9B,44.9596,41.6704,-1.0,5.66
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1df,QTR43W,51.5741,25.3281,541.02,111.01
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1e0,QTR85C,26.1837,38.3288,11193.78,193.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1e8,QTR8L,15.8224,47.9044,9753.6,248.12
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1ec,QTR27F,16.3684,55.6074,10058.4,245.63
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a1ed,QTR8942,91.954,22.2755,12496.8,263.59
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a255,LHOB244,6.2315,43.4875,5715.0,224.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2af,QTR69V,12.6811,48.1133,10668.0,250.89
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2b1,VOZ007,78.6383,7.3587,10363.2,252.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2c5,QTR001,10.1745,49.6291,10363.2,237.4
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2de,QTR88V,-1.0956,40.1493,9448.8,279.44
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e3,QTR47K,25.0138,44.5242,11277.6,259.85
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e4,QTR76G,15.6128,51.8634,7894.32,226.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e7,"",49.5795,28.2098,11887.2,281.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e8,QTR328,14.4129,47.56,11879.58,263.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2e9,QTR70M,24.9117,44.4568,11879.58,267.04
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f2,QTR99P,8.4225,50.9617,11269.98,260.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f4,QTR60X,33.4183,45.1188,11574.78,26.93
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f5,QTR28V,18.4312,46.8095,11277.6,260.1
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2f8,QTR030,12.7057,50.338,11887.2,257.35
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a2fd,QTR45X,37.1523,40.6244,12184.38,229.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a30c,QTR8213,37.0995,40.6388,10363.2,230.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a391,QTR8401,85.9684,22.8464,9753.6,220.36
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a3bf,QTR94N,26.7196,44.7176,11887.2,254.33
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a07e,QTR786,-42.0953,-21.5376,10058.4,263.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a07f,QTR8944,90.5057,22.4158,11887.2,283.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a081,QTR8402,90.0367,22.4709,12496.8,277.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,06a089,QTR42J,27.5978,36.3845,10668.0,278.79
