batch_id,ingestion_time,icao24,callsign,longitude,latitude,baro_altitude,velocity
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,846a34,"",121.0163,14.5172,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,846def,NCA225,133.6704,34.3208,11582.4,174.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,847183,NCA159,-173.6465,59.1777,12192.0,248.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8478ab,NCA203,133.2286,33.0635,12192.0,178.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,84b807,"",117.4575,22.3397,11582.4,194.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861ae1,ANA8507,126.6301,26.1182,10363.2,199.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b20,ANA8427,126.8159,37.1954,10972.8,169.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b47,ANA8511,119.9401,24.0119,11582.4,190.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b69,ANA8403,130.7664,33.5914,9144.0,177.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861bb0,JAL35,138.4767,34.4865,9753.6,210.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,862d0c,JAL6783,135.1037,34.7352,7315.2,183.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,862d2e,JAL6781,118.778,23.1381,10972.8,203.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,868012,JAL56,-148.7073,59.8392,9448.8,240.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8682fc,JAL34,102.6613,14.6938,10058.4,265.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,868db5,ANA8402,-119.1524,48.0043,10058.4,277.55
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86953e,ANA12,-130.7533,56.0088,9448.8,245.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86ce8e,AJX1,100.7565,13.6744,-1.0,14.92
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,86ceb0,AJX3,103.9435,1.2686,495.3,76.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d5d8,ANA179,-120.574,36.3313,11582.4,240.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d5e0,JAL727,135.2418,34.4303,-1.0,9.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d68a,TZP22,-123.1803,49.1991,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d9b0,ANA885,138.1598,34.3799,11673.84,223.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86da16,ANA811,135.9796,33.9862,10363.2,185.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e4fc,JAL48,24.9463,60.3131,-1.0,3.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e75e,JAL59,133.546,34.5081,10972.8,180.7
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e7a2,JAL33,138.9663,35.0007,7719.06,191.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e7de,ANA815,101.8859,2.6536,2644.14,127.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e84c,JAL30,84.16,25.8624,11879.58,304.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86eb50,ANA843,139.902,35.54,1402.08,130.64
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,86ebb6,ANA967,130.0353,33.3443,11574.78,179.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86ebd8,ANA871,138.7648,34.7143,9883.14,209.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86efb0,ANA849,139.5561,35.2942,4358.64,167.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,872742,ANA850,100.7456,13.5835,1135.38,110.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,873334,ANA223,8.5447,50.0445,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,87aace,DENKI002,139.7624,35.552,-1.0,10.8
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,846a34,"",121.0163,14.5172,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,846def,NCA225,133.6704,34.3208,11582.4,174.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,847183,NCA159,-173.6465,59.1777,12192.0,248.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8478ab,NCA203,133.2286,33.0635,12192.0,178.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,84b807,"",117.4575,22.3397,11582.4,194.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861ae1,ANA8507,126.6301,26.1182,10363.2,199.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b20,ANA8427,126.8159,37.1954,10972.8,169.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b47,ANA8511,119.9401,24.0119,11582.4,190.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b69,ANA8403,130.7664,33.5914,9144.0,177.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861bb0,JAL35,138.4767,34.4865,9753.6,210.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,862d0c,JAL6783,135.1037,34.7352,7315.2,183.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,862d2e,JAL6781,118.778,23.1381,10972.8,203.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,868012,JAL56,-148.7073,59.8392,9448.8,240.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8682fc,JAL34,102.6613,14.6938,10058.4,265.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,868db5,ANA8402,-119.1524,48.0043,10058.4,277.55
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86953e,ANA12,-130.7533,56.0088,9448.8,245.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86ce8e,AJX1,100.7565,13.6744,-1.0,14.92
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,86ceb0,AJX3,103.9435,1.2686,495.3,76.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d5d8,ANA179,-120.574,36.3313,11582.4,240.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d5e0,JAL727,135.2418,34.4303,-1.0,9.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d68a,TZP22,-123.1803,49.1991,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d9b0,ANA885,138.1598,34.3799,11673.84,223.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86da16,ANA811,135.9796,33.9862,10363.2,185.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e4fc,JAL48,24.9463,60.3131,-1.0,3.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e75e,JAL59,133.546,34.5081,10972.8,180.7
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e7a2,JAL33,138.9663,35.0007,7719.06,191.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e7de,ANA815,101.8859,2.6536,2644.14,127.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e84c,JAL30,84.16,25.8624,11879.58,304.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86eb50,ANA843,139.902,35.54,1402.08,130.64
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,86ebb6,ANA967,130.0353,33.3443,11574.78,179.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86ebd8,ANA871,138.7648,34.7143,9883.14,209.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86efb0,ANA849,139.5561,35.2942,4358.64,167.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,872742,ANA850,100.7456,13.5835,1135.38,110.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,873334,ANA223,8.5447,50.0445,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,87aace,DENKI002,139.7624,35.552,-1.0,10.8
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,846a34,"",121.0163,14.5172,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,846def,NCA225,133.6704,34.3208,11582.4,174.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,847183,NCA159,-173.6465,59.1777,12192.0,248.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8478ab,NCA203,133.2286,33.0635,12192.0,178.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,84b807,"",117.4575,22.3397,11582.4,194.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861ae1,ANA8507,126.6301,26.1182,10363.2,199.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b20,ANA8427,126.8159,37.1954,10972.8,169.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b47,ANA8511,119.9401,24.0119,11582.4,190.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b69,ANA8403,130.7664,33.5914,9144.0,177.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861bb0,JAL35,138.4767,34.4865,9753.6,210.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,862d0c,JAL6783,135.1037,34.7352,7315.2,183.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,862d2e,JAL6781,118.778,23.1381,10972.8,203.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,868012,JAL56,-148.7073,59.8392,9448.8,240.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8682fc,JAL34,102.6613,14.6938,10058.4,265.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,868db5,ANA8402,-119.1524,48.0043,10058.4,277.55
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86953e,ANA12,-130.7533,56.0088,9448.8,245.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86ce8e,AJX1,100.7565,13.6744,-1.0,14.92
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,86ceb0,AJX3,103.9435,1.2686,495.3,76.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d5d8,ANA179,-120.574,36.3313,11582.4,240.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d5e0,JAL727,135.2418,34.4303,-1.0,9.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d68a,TZP22,-123.1803,49.1991,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d9b0,ANA885,138.1598,34.3799,11673.84,223.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86da16,ANA811,135.9796,33.9862,10363.2,185.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e4fc,JAL48,24.9463,60.3131,-1.0,3.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e75e,JAL59,133.546,34.5081,10972.8,180.7
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e7a2,JAL33,138.9663,35.0007,7719.06,191.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e7de,ANA815,101.8859,2.6536,2644.14,127.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e84c,JAL30,84.16,25.8624,11879.58,304.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86eb50,ANA843,139.902,35.54,1402.08,130.64
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,86ebb6,ANA967,130.0353,33.3443,11574.78,179.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86ebd8,ANA871,138.7648,34.7143,9883.14,209.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86efb0,ANA849,139.5561,35.2942,4358.64,167.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,872742,ANA850,100.7456,13.5835,1135.38,110.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,873334,ANA223,8.5447,50.0445,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,87aace,DENKI002,139.7624,35.552,-1.0,10.8
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,846a34,"",121.0163,14.5172,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,846def,NCA225,133.6704,34.3208,11582.4,174.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,847183,NCA159,-173.6465,59.1777,12192.0,248.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8478ab,NCA203,133.2286,33.0635,12192.0,178.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,84b807,"",117.4575,22.3397,11582.4,194.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861ae1,ANA8507,126.6301,26.1182,10363.2,199.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b20,ANA8427,126.8159,37.1954,10972.8,169.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b47,ANA8511,119.9401,24.0119,11582.4,190.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b69,ANA8403,130.7664,33.5914,9144.0,177.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861bb0,JAL35,138.4767,34.4865,9753.6,210.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,862d0c,JAL6783,135.1037,34.7352,7315.2,183.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,862d2e,JAL6781,118.778,23.1381,10972.8,203.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,868012,JAL56,-148.7073,59.8392,9448.8,240.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8682fc,JAL34,102.6613,14.6938,10058.4,265.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,868db5,ANA8402,-119.1524,48.0043,10058.4,277.55
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86953e,ANA12,-130.7533,56.0088,9448.8,245.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86ce8e,AJX1,100.7565,13.6744,-1.0,14.92
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,86ceb0,AJX3,103.9435,1.2686,495.3,76.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d5d8,ANA179,-120.574,36.3313,11582.4,240.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d5e0,JAL727,135.2418,34.4303,-1.0,9.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d68a,TZP22,-123.1803,49.1991,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d9b0,ANA885,138.1598,34.3799,11673.84,223.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86da16,ANA811,135.9796,33.9862,10363.2,185.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e4fc,JAL48,24.9463,60.3131,-1.0,3.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e75e,JAL59,133.546,34.5081,10972.8,180.7
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e7a2,JAL33,138.9663,35.0007,7719.06,191.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e7de,ANA815,101.8859,2.6536,2644.14,127.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e84c,JAL30,84.16,25.8624,11879.58,304.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86eb50,ANA843,139.902,35.54,1402.08,130.64
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,86ebb6,ANA967,130.0353,33.3443,11574.78,179.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86ebd8,ANA871,138.7648,34.7143,9883.14,209.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86efb0,ANA849,139.5561,35.2942,4358.64,167.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,872742,ANA850,100.7456,13.5835,1135.38,110.21
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,873334,ANA223,8.5447,50.0445,-1.0,8.23
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,87aace,DENKI002,139.7624,35.552,-1.0,10.8
331756c9-e4fa-40da-9233-991cee0347d1,2026-01-30T15:50:05.127211,846a34,"",121.0163,14.5172,-1.0,2.57
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,846def,NCA225,133.6704,34.3208,11582.4,174.19
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,847183,NCA159,-173.6465,59.1777,12192.0,248.65
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8478ab,NCA203,133.2286,33.0635,12192.0,178.31
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,84b807,"",117.4575,22.3397,11582.4,194.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861ae1,ANA8507,126.6301,26.1182,10363.2,199.22
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b20,ANA8427,126.8159,37.1954,10972.8,169.25
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b47,ANA8511,119.9401,24.0119,11582.4,190.9
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861b69,ANA8403,130.7664,33.5914,9144.0,177.73
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,861bb0,JAL35,138.4767,34.4865,9753.6,210.07
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,862d0c,JAL6783,135.1037,34.7352,7315.2,183.51
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,862d2e,JAL6781,118.778,23.1381,10972.8,203.8
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,868012,JAL56,-148.7073,59.8392,9448.8,240.76
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,8682fc,JAL34,102.6613,14.6938,10058.4,265.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,868db5,ANA8402,-119.1524,48.0043,10058.4,277.55
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86953e,ANA12,-130.7533,56.0088,9448.8,245.96
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86ce8e,AJX1,100.7565,13.6744,-1.0,14.92
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,86ceb0,AJX3,103.9435,1.2686,495.3,76.53
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d5d8,ANA179,-120.574,36.3313,11582.4,240.68
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d5e0,JAL727,135.2418,34.4303,-1.0,9.77
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d68a,TZP22,-123.1803,49.1991,-1.0,0.26
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86d9b0,ANA885,138.1598,34.3799,11673.84,223.87
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86da16,ANA811,135.9796,33.9862,10363.2,185.48
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e4fc,JAL48,24.9463,60.3131,-1.0,3.86
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e75e,JAL59,133.546,34.5081,10972.8,180.7
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e7a2,JAL33,138.9663,35.0007,7719.06,191.91
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e7de,ANA815,101.8859,2.6536,2644.14,127.56
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86e84c,JAL30,84.16,25.8624,11879.58,304.41
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86eb50,ANA843,139.902,35.54,1402.08,130.64
7bb4dd79-9427-4388-82fe-539be9319423,2026-01-30T15:49:03.578906,86ebb6,ANA967,130.0353,33.3443,11574.78,179.79
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86ebd8,ANA871,138.7648,34.7143,9883.14,209.11
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,86efb0,ANA849,139.5561,35.2942,4358.64,167.32
aff5aa9c-929e-4a49-88ac-159831e066be,2026-01-30T15:51:06.781937,872742,ANA850,100.7456,13.5835,1135.38,110.21
